DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
11-Nov-2025,EQ,"5,375.50","5,430.00","5,331.00","5,359.50","5,414.00","5,417.50","5,400.37","5,717.00","3,344.00",348232,"1,88,05,83,260.00",30583
10-Nov-2025,EQ,"5,310.00","5,410.00","5,300.50","5,296.00","5,368.50","5,359.50","5,372.28","5,717.00","3,344.00",347961,"1,86,93,44,038.50",36736
07-Nov-2025,EQ,"5,305.00","5,324.00","5,258.00","5,326.00","5,300.00","5,296.00","5,292.00","5,717.00","3,344.00",436406,"2,30,94,59,276.50",43940
06-Nov-2025,EQ,"5,352.50","5,408.50","5,305.00","5,309.00","5,322.00","5,326.00","5,345.55","5,717.00","3,344.00",815323,"4,35,83,48,590.00",64064
04-Nov-2025,EQ,"5,475.00","5,475.00","5,252.50","5,539.00","5,303.50","5,309.00","5,321.81","5,717.00","3,344.00",2003141,"10,66,03,43,480.50",149378
03-Nov-2025,EQ,"5,579.50","5,579.50","5,482.00","5,544.00","5,532.00","5,539.00","5,539.61","5,717.00","3,344.00",223771,"1,23,96,03,576.00",29651
31-Oct-2025,EQ,"5,514.50","5,625.00","5,501.00","5,515.00","5,550.00","5,544.00","5,571.60","5,717.00","3,344.00",424188,"2,36,34,04,949.50",40574
30-Oct-2025,EQ,"5,570.50","5,587.50","5,493.00","5,551.50","5,502.00","5,515.00","5,522.27","5,717.00","3,344.00",402078,"2,22,03,84,759.50",29740
29-Oct-2025,EQ,"5,637.50","5,638.50","5,527.00","5,609.50","5,550.00","5,551.50","5,567.96","5,717.00","3,344.00",432099,"2,40,59,09,789.00",36056
28-Oct-2025,EQ,"5,640.00","5,665.00","5,575.00","5,646.50","5,611.00","5,609.50","5,615.02","5,717.00","3,344.00",539781,"3,03,08,82,587.50",48052
27-Oct-2025,EQ,"5,570.00","5,662.00","5,550.00","5,540.50","5,640.00","5,646.50","5,631.88","5,717.00","3,344.00",424721,"2,39,19,79,799.00",42396
24-Oct-2025,EQ,"5,615.00","5,625.00","5,484.50","5,588.50","5,538.00","5,540.50","5,544.29","5,717.00","3,344.00",546761,"3,03,13,99,847.00",57589
23-Oct-2025,EQ,"5,715.00","5,717.00","5,561.50","5,646.50","5,584.00","5,588.50","5,630.30","5,717.00","3,344.00",489097,"2,75,37,60,652.50",56327
21-Oct-2025,EQ,"5,667.00","5,668.00","5,631.00","5,641.00","5,631.00","5,646.50","5,649.32","5,694.00","3,344.00",40575,"22,92,21,120.50",6164
20-Oct-2025,EQ,"5,620.00","5,694.00","5,606.50","5,592.50","5,627.50","5,641.00","5,653.88","5,694.00","3,344.00",368799,"2,08,51,43,658.00",41178
17-Oct-2025,EQ,"5,582.00","5,625.00","5,550.50","5,579.50","5,595.00","5,592.50","5,594.86","5,659.00","3,344.00",435204,"2,43,49,05,985.00",56669
16-Oct-2025,EQ,"5,577.00","5,612.00","5,551.50","5,537.50","5,582.00","5,579.50","5,583.22","5,659.00","3,344.00",294066,"1,64,18,36,228.50",34822
